session_id,application_id,device_id,created_at,dt
4d5059b8-3c38-43f1-bac3-9a6077863e0d,ifood-colombia-android,3e50ae0f-d034-32c2-b5c4-bf4107f480e2,2023-02-02T12:50:18.692+0000,2023-02-02
71a9e0cf-300b-4e58-9905-dde21caddbbe,ifood-ios-homolog,bc20e9a9-703b-445b-b268-180fdf8830c4,2023-02-02T12:50:26.938+0000,2023-02-02
31289e32-a9be-4a2e-967d-0d526e010411,ifood-android-homolog,91ac293d-1f72-34bf-b3b4-17ad8e46b1b9,2023-02-02T12:43:41.472+0000,2023-02-02
0ea0f78d-b359-47b7-be72-f85020c370d7,ifood-colombia-android,30169170-2479-348c-9cfa-8d62fd86c123,2023-02-02T12:50:51.730+0000,2023-02-02
0ea0f78d-b359-47b7-be72-f85020c370d7,ifood-colombia-android,30169170-2479-348c-9cfa-8d62fd86c123,2023-02-02T12:50:51.730+0000,2023-02-02
5da56be7-e00b-4d99-8586-31b3552b92f3,ifood-colombia-android,706aa759-d099-3664-b97a-4fd874663359,2023-02-02T12:58:19.104+0000,2023-02-02
66531320-e39f-4ae0-9b7b-d2f422a28e69,ifood-colombia-android,20c375b9-2e63-376c-9899-c9f5bf783cb6,2023-02-02T12:46:39.779+0000,2023-02-02
962b649e-e57a-49cd-94c7-bb6b5cbb435a,ifood-colombia-android,057165c2-406a-37e3-abc1-ef1c0ceaad15,2023-02-02T12:58:42.159+0000,2023-02-02
46d9c2b5-4f5a-4bba-9be5-331da3f66fb8,ifood-colombia-ios,affa9dac-59da-44e9-b969-716be65ba417,2023-02-02T12:47:38.758+0000,2023-02-02
07f43dcf-871e-4b57-93e6-de99c942bc98,ifood-mexico-android,f9827d60-2a18-3481-81e9-62c06e844ce3,2023-02-02T12:50:39.611+0000,2023-02-02
45ad9e16-bfbd-4279-aab1-07ae3d6020cc,ifood-colombia-ios,49520e13-3946-45f4-b97a-d48cdea686d7,2023-02-02T12:49:11.676+0000,2023-02-02
652a25c8-e8da-44df-b767-1f3a05a37494,ifood-ios-homolog,fa76adb0-c9a5-418b-858d-c89dbf0907b0,2023-02-02T12:48:13.641+0000,2023-02-02
581652fe-cebc-45f7-b831-e0a932ab6576,ifood-colombia-ios,9757fd3c-788d-4767-8cad-a6493ef969c0,2023-02-02T12:55:26.019+0000,2023-02-02
